"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051480","regulation of cytosolic calcium ion concentration","9/1012","61/18614",0.00543484735006478,0.0128010143466876,0.00574394147180179,"GRIA1/F2/CALCA/CAV1/SLC35G1/HTR1B/SLC8B1/RYR2/P2RY1",9
"BP","GO:0043588","skin development","28/1012","308/18614",0.00549703033437034,0.0129401119642059,0.00580635594555002,"TNF/NF1/CTNNB1/IL17A/EGFR/COL1A2/COL3A1/ADAMTS2/WNT10A/IL18/SMAD4/IL1A/EREG/FOXE1/CASP3/PLAAT4/ITGA2/NOTCH1/ANXA1/YAP1/STMN1/VDR/ABCB6/AP3B1/EDA/PLA2G10/LRP4/KRT10",28
"BP","GO:0021543","pallium development","19/1012","184/18614",0.00549833016063761,0.0129401119642059,0.00580635594555002,"TH/NEFL/NF1/CTNNB1/EGFR/HIF1A/COL3A1/RELN/HSD3B2/RHOA/CASP3/CDH2/ASPM/DAB1/TSKU/PAX5/CNTNAP2/SLC2A1/FOXG1",19
"BP","GO:0001505","regulation of neurotransmitter levels","21/1012","211/18614",0.00556090047671995,0.0130821022884929,0.00587006840537377,"TH/SLC6A3/GFAP/SNCA/NF1/GAD2/PAH/GAD1/ITGB1/SYN1/COMT/HTR1B/SLC1A2/STXBP2/BRAF/P2RX7/SYN2/PTPRN2/ACHE/KMO/P2RY1",21
"BP","GO:0002467","germinal center formation","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"ADA/ADAM17/UNC13D/BCL6",4
"BP","GO:0006878","intracellular copper ion homeostasis","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"APP/ANKRD9/PRNP/ABCB6",4
"BP","GO:0010713","negative regulation of collagen metabolic process","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"IL6/CST3/MIR29A/NOTCH1",4
"BP","GO:0014061","regulation of norepinephrine secretion","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"AGT/ADRA2A/OXT/P2RY1",4
"BP","GO:0016322","neuron remodeling","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"APP/C3/C1QA/CX3CL1",4
"BP","GO:0030213","hyaluronan biosynthetic process","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"IL1B/NFKB1/TGFB1/HAS1",4
"BP","GO:0030252","growth hormone secretion","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"SERP1/CHD7/KISS1/RAB1A",4
"BP","GO:0031269","pseudopodium assembly","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"KIT/CCR7/CCL21/F2RL1",4
"BP","GO:0033700","phospholipid efflux","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"APOE/APOA1/APOA2/SPNS1",4
"BP","GO:0042136","neurotransmitter biosynthetic process","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"TH/GAD2/PAH/GAD1",4
"BP","GO:0042762","regulation of sulfur metabolic process","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"SNCA/CTNNB1/MIR21/SLC7A11",4
"BP","GO:0043922","negative regulation by host of viral transcription","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"CCL4/CCL3/TARDBP/CCL5",4
"BP","GO:0048243","norepinephrine secretion","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"AGT/ADRA2A/OXT/P2RY1",4
"BP","GO:0060330","regulation of response to type II interferon","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"TXK/PPARG/NR1H2/HPX",4
"BP","GO:0060334","regulation of type II interferon-mediated signaling pathway","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"TXK/PPARG/NR1H2/HPX",4
"BP","GO:0060732","positive regulation of inositol phosphate biosynthetic process","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"SNCA/PTH/CD244/P2RY1",4
"BP","GO:0070942","neutrophil mediated cytotoxicity","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"F2/ELANE/F2RL1/CTSG",4
"BP","GO:1903798","regulation of miRNA maturation","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"IL6/TGFB1/STAT3/TP53",4
"BP","GO:1905522","negative regulation of macrophage migration","4/1012","14/18614",0.00560594557493798,0.013088002328709,0.00587271581164682,"CD200/MIF/CD200R1/C5",4
"BP","GO:0010988","regulation of low-density lipoprotein particle clearance","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"MIR17/TREM2/FGF21/ABCC8/ANXA2",5
"BP","GO:0015919","peroxisomal membrane transport","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"PEX3/PEX5L/PEX14/ABCD3/TRIM37",5
"BP","GO:0023019","signal transduction involved in regulation of gene expression","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"PARP1/TRAF2/PDGFRA/SMAD3/P2RY1",5
"BP","GO:0030220","platelet formation","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"EP300/ZFPM1/CLEC1B/CASP3/PRKDC",5
"BP","GO:0032042","mitochondrial DNA metabolic process","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"POLG/PARP1/TP53/RRM1/LONP1",5
"BP","GO:0035313","wound healing, spreading of epidermal cells","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"ADAM17/MTOR/ITGB1/MMP12/MIR221",5
"BP","GO:2000810","regulation of bicellular tight junction assembly","5/1012","22/18614",0.00570560044985887,0.0132835285662585,0.0059604503641025,"TNF/IL17A/CLDN5/F11R/TJP1",5
"BP","GO:0043304","regulation of mast cell degranulation","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"IL4/IL13/LGALS9/SYK/STXBP2/UNC13D",6
"BP","GO:0045762","positive regulation of adenylate cyclase activity","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"ADRB1/NF1/ADRB2/CALCA/ADRB3/ACR",6
"BP","GO:0070570","regulation of neuron projection regeneration","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"HGF/THY1/MIR221/GRN/BRAF/SPP1",6
"BP","GO:1900225","regulation of NLRP3 inflammasome complex assembly","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"TLR4/PTPN22/TREM2/MEFV/TLR6/BTK",6
"BP","GO:1900745","positive regulation of p38MAPK cascade","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"IL1B/VEGFA/LEP/AGER/NCF1/SPHK1",6
"BP","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","6/1012","31/18614",0.00581321532910271,0.0135018104147535,0.00605839558376679,"FGB/ICAM1/HGF/GPX1/SERPINE1/MIR221",6
"BP","GO:0030111","regulation of Wnt signaling pathway","30/1012","338/18614",0.00583345515082996,0.0135434387655886,0.0060770746356207,"APP/NFKB1/APOE/CBY1/CTNNB1/TGFB1/EGFR/TLR2/WNT3/EGR1/FOXO1/MAPK14/MIR145/FGF2/CDH2/SRC/NOTCH1/RACK1/ASPM/YAP1/CAV1/TSKU/ZEB2/HHEX/DDIT3/SMAD3/EDA/XIAP/CTHRC1/LRP4",30
"BP","GO:0060688","regulation of morphogenesis of a branching structure","8/1012","51/18614",0.00589380442516159,0.013678118566691,0.00613750679154329,"TNF/VEGFA/AGT/CTNNB1/HGF/AGTR2/HOXD13/AR",8
"BP","GO:0030177","positive regulation of Wnt signaling pathway","16/1012","146/18614",0.00591221651511621,0.0137154038680037,0.00615423707421454,"NFKB1/TGFB1/EGFR/TLR2/WNT3/MIR145/FGF2/SRC/ASPM/YAP1/CAV1/ZEB2/HHEX/SMAD3/EDA/XIAP",16
"BP","GO:0098773","skin epidermis development","14/1012","121/18614",0.00604345993678088,0.0140143065412221,0.0062883576535869,"TNF/NF1/CTNNB1/EGFR/WNT10A/IL18/SMAD4/FOXE1/NOTCH1/STMN1/AP3B1/EDA/PLA2G10/LRP4",14
"BP","GO:0003203","endocardial cushion morphogenesis","7/1012","41/18614",0.00610497218602359,0.0141401217906077,0.00634481219766903,"SMAD4/NOTCH1/ENG/MDM2/HEY1/ACVR1/TWIST1",7
"BP","GO:0030513","positive regulation of BMP signaling pathway","7/1012","41/18614",0.00610497218602359,0.0141401217906077,0.00634481219766903,"CDH5/SMAD4/KDR/MIR20A/NOTCH1/ENG/BMPR2",7
"BP","GO:0098751","bone cell development","7/1012","41/18614",0.00610497218602359,0.0141401217906077,0.00634481219766903,"KIT/EP300/ZFPM1/TNFSF11/SRC/GP1BA/ANXA2",7
"BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","13/1012","109/18614",0.00621052455808561,0.0143702688492476,0.00644808145422422,"KIT/PIK3R1/MTOR/CCL19/NRP1/CCR7/CCL21/SEPTIN7/OCLN/F2RL1/P2RX7/CENPJ/HRAS",13
"BP","GO:0006096","glycolytic process","11/1012","85/18614",0.00621171217619718,0.0143702688492476,0.00644808145422422,"INS/APP/IFNG/EP300/HIF1A/IGF1/MTOR/STAT3/ENO2/P2RX7/PPARA",11
"BP","GO:0035050","embryonic heart tube development","11/1012","85/18614",0.00621171217619718,0.0143702688492476,0.00644808145422422,"CTNNB1/HIF1A/PLXNA4/EDN1/NOTCH1/ENG/YAP1/PKD2/RYR2/SMAD3/ACVR1",11
"BP","GO:1901987","regulation of cell cycle phase transition","38/1012","457/18614",0.00622138082874143,0.0143814406415496,0.00645309434768559,"APP/CCL2/EGFR/MIR195/CDC25C/UBD/ADAM17/AIF1/MUC1/CDKN2A/MAPK14/MIR29A/MIR451A/CDK1/AKT1/ANXA1/ATM/TP53/MDM2/TCIM/CDKN1A/PKD2/MOS/MIR221/PHOX2B/CDKN2B/SPDL1/CLOCK/AURKA/CDC20/CENPJ/ACVR1/RRM1/TAF1/NBN/PRKDC/IK/RB1",38
"BP","GO:0000018","regulation of DNA recombination","15/1012","134/18614",0.00622392145451939,0.0143814406415496,0.00645309434768559,"IL2/IL10/CD28/IL4/TGFB1/PARP1/RTEL1/PTPRC/FOXP3/FUS/TBX21/CGAS/FANCB/BCL6/IL7R",15
"BP","GO:0009132","nucleoside diphosphate metabolic process","15/1012","134/18614",0.00622392145451939,0.0143814406415496,0.00645309434768559,"INS/APP/IFNG/EP300/HIF1A/IGF1/MTOR/CMPK1/NT5E/NUDT5/STAT3/ENO2/P2RX7/RRM1/PPARA",15
"BP","GO:0007585","respiratory gaseous exchange by respiratory system","10/1012","74/18614",0.00655500484891365,0.0151404813697152,0.00679368341345955,"DNAH9/TNNC1/SFTPD/EDN1/FLT4/ELN/PHOX2B/SFTPC/AP3B1/SFTPA1",10
"BP","GO:0051056","regulation of small GTPase mediated signal transduction","27/1012","298/18614",0.00660688150903315,0.0152542769754375,0.00684474462480694,"EPO/CSF1/KITLG/APOE/KRAS/NF1/SQSTM1/COL3A1/IGF1/MFN2/RELN/NRP1/APOA1/F11R/NGF/GABARAP/ITGB1/SRC/NOTCH1/DOCK8/STMN1/F2RL1/DOCK3/TRIO/BCL6/TGM2/PDGFRB",27
"BP","GO:0003197","endocardial cushion development","8/1012","52/18614",0.00664142906233048,0.0153219393442715,0.00687510539746918,"SMAD4/NOTCH1/ENG/MDM2/HEY1/ACVR1/BMPR2/TWIST1",8
"BP","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","8/1012","52/18614",0.00664142906233048,0.0153219393442715,0.00687510539746918,"VCAM1/SELE/ICAM1/SELP/CDH2/SELL/ITGAL/PSG5",8
"BP","GO:0006757","ATP generation from ADP","11/1012","86/18614",0.00678254434687505,0.0156413231762649,0.00701841607491441,"INS/APP/IFNG/EP300/HIF1A/IGF1/MTOR/STAT3/ENO2/P2RX7/PPARA",11
"BP","GO:0001975","response to amphetamine","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"TH/EDN1/SOD1/RGS2/OXT/HDAC9",6
"BP","GO:0002431","Fc receptor mediated stimulatory signaling pathway","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"PTPRC/CD47/PTK2/SRC/SYK/FCGR2B",6
"BP","GO:0010165","response to X-ray","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"CASP3/ANXA1/ATM/THBD/TP53/HAMP",6
"BP","GO:0010669","epithelial structure maintenance","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"TLR4/IL17A/RBP4/TFF3/NOD2/TLR9",6
"BP","GO:0031057","negative regulation of histone modification","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"PHF1/SNCA/SIRT1/FOXP3/PAX5/TWIST1",6
"BP","GO:0050482","arachidonic acid secretion","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"ACE/ANXA1/MIF/SYK/PLA2G2A/PLA2G10",6
"BP","GO:0061384","heart trabecula morphogenesis","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"RBP4/TEK/NOTCH1/ENG/HEY1/CHD7",6
"BP","GO:1903963","arachidonate transport","6/1012","32/18614",0.00683216758749287,0.0157061941472605,0.00704752431981797,"ACE/ANXA1/MIF/SYK/PLA2G2A/PLA2G10",6
"BP","GO:0002689","negative regulation of leukocyte chemotaxis","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"DPP4/CCL2/KLRK1/MIF/C5",5
"BP","GO:0019835","cytolysis","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"PRF1/GZMB/CAMP/PLA2G2A/C5",5
"BP","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"HLA-C/HLA-A/IDE/HLA-B/B2M",5
"BP","GO:0031065","positive regulation of histone deacetylation","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"VEGFA/SIRT1/PINK1/TP53/BCL6",5
"BP","GO:0032891","negative regulation of organic acid transport","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"TNF/LEP/AKT1/RGS2/HTR1B",5
"BP","GO:0036303","lymph vessel morphogenesis","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"VEGFA/FGF2/FLT4/LGALS8/BMPR2",5
"BP","GO:0042745","circadian sleep/wake cycle","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"CSF2/TH/ADRB1/CRH/PARP1",5
"BP","GO:0097150","neuronal stem cell population maintenance","5/1012","23/18614",0.00696961217453753,0.0159719140620723,0.00716675546800946,"FOXO1/FANCC/CDH2/NOTCH1/ASPM",5
"BP","GO:0007595","lactation","7/1012","42/18614",0.00698990879617463,0.0159933490498774,0.00717637355858159,"PRL/VEGFA/SLC6A3/HIF1A/COX2/CAV1/VDR",7
"BP","GO:0055090","acylglycerol homeostasis","7/1012","42/18614",0.00698990879617463,0.0159933490498774,0.00717637355858159,"APOE/SIRT1/IL18/APOA1/GIP/MIR34A/ANGPTL3",7
"BP","GO:0060338","regulation of type I interferon-mediated signaling pathway","7/1012","42/18614",0.00698990879617463,0.0159933490498774,0.00717637355858159,"MIR21/MMP12/IRF3/STING1/OAS1/ZBP1/ISG15",7
"BP","GO:0070328","triglyceride homeostasis","7/1012","42/18614",0.00698990879617463,0.0159933490498774,0.00717637355858159,"APOE/SIRT1/IL18/APOA1/GIP/MIR34A/ANGPTL3",7
"BP","GO:0045333","cellular respiration","23/1012","243/18614",0.00701126816027271,0.0160359443133624,0.00719548647368405,"TNF/SNCA/COX7A1/IFNG/CS/IL4/HIF1A/CAT/SIRT3/IL10RB/ATP5PO/PINK1/SOD2/RHOA/COX2/CDK1/IDE/TAFAZZIN/SURF1/NOS2/COX8A/IFNAR1/NDUFB3",23
"BP","GO:0006694","steroid biosynthetic process","18/1012","175/18614",0.00704380613005553,0.0161040636043428,0.00722605227182281,"TNF/LEP/NFKB1/APOE/IFNG/G6PD/CRH/POR/TSPO/SIRT1/EGR1/IL1A/HSD3B2/ABCD3/SOD1/IGFBP7/APOB/HSD17B10",18
"BP","GO:0016052","carbohydrate catabolic process","17/1012","162/18614",0.0071376759906637,0.0163122962632604,0.00731948832094726,"INS/APP/IFNG/EP300/HIF1A/IGF1/MTOR/GBA3/NUDT5/STAT3/ENO2/TP53/GLB1/CHIA/P2RX7/NEU1/PPARA",17
"BP","GO:0051592","response to calcium ion","16/1012","149/18614",0.00716930945283644,0.016378187987996,0.00734905458812793,"FGB/FOS/JUNB/TNNT2/EDN1/SDC1/ITPKC/KCNMB2/CAV1/HSPA5/PCSK1/PKD2/FOSB/BRAF/RYR2/P2RX7",16
"BP","GO:0030968","endoplasmic reticulum unfolded protein response","10/1012","75/18614",0.00720497290177941,0.0164532310874228,0.00738272716744831,"NFE2L2/SERP1/PIK3R1/ATF3/FGF21/RACK1/EIF2S1/HSPA5/DDIT3/BAK1",10
"BP","GO:0001768","establishment of T cell polarity","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"CCL19/CCR7/CCL21/DOCK8",4
"BP","GO:0010820","positive regulation of T cell chemotaxis","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"ADAM17/CCL5/CCL21/ADAM10",4
"BP","GO:0031268","pseudopodium organization","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"KIT/CCR7/CCL21/F2RL1",4
"BP","GO:0035067","negative regulation of histone acetylation","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"SNCA/SIRT1/FOXP3/TWIST1",4
"BP","GO:0035641","locomotory exploration behavior","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"APOE/DPP4/CRH/GAD1",4
"BP","GO:0042532","negative regulation of tyrosine phosphorylation of STAT protein","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"SOCS3/MIR146A/CAV1/SOCS1",4
"BP","GO:0042994","cytoplasmic sequestering of transcription factor","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"IL10/KEAP1/SRI/PKD2",4
"BP","GO:0045725","positive regulation of glycogen biosynthetic process","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"INS/IGF1/PTH/AKT1",4
"BP","GO:0045989","positive regulation of striated muscle contraction","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"ACE2/RGS2/GSTO1/NPPA",4
"BP","GO:0051284","positive regulation of sequestering of calcium ion","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"SRI/PKD2/GSTO1/RYR2",4
"BP","GO:0051290","protein heterotetramerization","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"PKD2/GRIN1/RRM1/KRT10",4
"BP","GO:0051956","negative regulation of amino acid transport","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"TNF/LEP/RGS2/HTR1B",4
"BP","GO:0060099","regulation of phagocytosis, engulfment","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"C3/TREM2/ITGA2/F2RL1",4
"BP","GO:0070278","extracellular matrix constituent secretion","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"TNFRSF1A/AGT/NOTCH1/ENG",4
"BP","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"IL6/TGFB1/STAT3/TP53",4
"BP","GO:0072075","metanephric mesenchyme development","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"STAT1/SMAD4/PKD2/PDGFRB",4
"BP","GO:0072378","blood coagulation, fibrin clot formation","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"FGB/F8/THBD/GP1BA",4
"BP","GO:1900426","positive regulation of defense response to bacterium","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"NOD2/HAVCR2/F2RL1/GRN",4
"BP","GO:1901142","insulin metabolic process","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"IDE/PCSK1/PCSK2/SLC30A8",4
"BP","GO:1905153","regulation of membrane invagination","4/1012","15/18614",0.00731960810254678,0.0165854375842979,0.00744204952735478,"C3/TREM2/ITGA2/F2RL1",4
"BP","GO:0035176","social behavior","8/1012","53/18614",0.00745862219971917,0.0168873374824006,0.00757751499111263,"TH/TREM2/GAD1/CX3CR1/AVP/ATXN1L/OXT/CNTNAP2",8
"BP","GO:2000648","positive regulation of stem cell proliferation","8/1012","53/18614",0.00745862219971917,0.0168873374824006,0.00757751499111263,"KITLG/CTNNB1/KDR/PTPRC/FGF2/MIR320A/FGF4/ATXN1L",8
"BP","GO:0030199","collagen fibril organization","9/1012","64/18614",0.00747025213179026,0.0169005781588413,0.00758345621330509,"NF1/COL1A2/COL3A1/ADAMTS2/SERPINF2/FMOD/ANXA2/BMP1/RB1",9
"BP","GO:0070050","neuron cellular homeostasis","9/1012","64/18614",0.00747025213179026,0.0169005781588413,0.00758345621330509,"APP/IL6/TYRO3/IFNB1/TMEM106B/CX3CL1/HTR1B/HAAO/P2RY1",9
"BP","GO:1903052","positive regulation of proteolysis involved in protein catabolic process","15/1012","137/18614",0.00760767291725678,0.0172048185200322,0.00771997186594885,"NFE2L2/TREM2/KEAP1/GABARAP/PTK2/AKT1/RACK1/IL33/SUMO1/MDM2/CAV1/AURKA/CDC20/TAF1/VHL",15
"BP","GO:0198738","cell-cell signaling by wnt","38/1012","463/18614",0.00764062092248486,0.0172726488448749,0.0077504080021298,"APP/NFKB1/APOE/CBY1/CTNNB1/TGFB1/EGFR/TLR2/WNT3/WNT10A/EGR1/FOXO1/MAPK14/MIR145/EDN1/RHOA/FGF2/SDC1/CDH2/SRC/NOTCH1/RACK1/ASPM/YAP1/CAV1/PKD2/OPRM1/TSKU/ZEB2/HHEX/KLHL12/MARK1/DDIT3/SMAD3/EDA/XIAP/CTHRC1/LRP4",38
"BP","GO:0042177","negative regulation of protein catabolic process","13/1012","112/18614",0.00777916613479636,0.0175790511109469,0.00788789372282975,"INS/IL10/SNCA/EGFR/TIMP1/SMAD4/FURIN/CST3/TIMP2/NOS2/SMAD3/ANXA2/USP7",13
"BP","GO:0002251","organ or tissue specific immune response","7/1012","43/18614",0.0079664664278573,0.0179509221124787,0.00805475591124778,"IL6/IL4/IFNL2/NOD2/IL6R/CAMP/NOS2",7
"BP","GO:0044058","regulation of digestive system process","7/1012","43/18614",0.0079664664278573,0.0179509221124787,0.00805475591124778,"LEP/EPB41/APOA1/APOA2/NR1H2/HAMP/OXT",7
"BP","GO:0045687","positive regulation of glial cell differentiation","7/1012","43/18614",0.0079664664278573,0.0179509221124787,0.00805475591124778,"TGFB1/TLR2/MTOR/CXCR4/NOTCH1/IL33/RNF112",7
"BP","GO:0048713","regulation of oligodendrocyte differentiation","7/1012","43/18614",0.0079664664278573,0.0179509221124787,0.00805475591124778,"NF1/CTNNB1/TLR2/MTOR/CXCR4/NOTCH1/IL33",7
"BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"IL1B/VTN/HIF1A/NRP1/MIR200C/HHEX",6
"BP","GO:0033006","regulation of mast cell activation involved in immune response","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"IL4/IL13/LGALS9/SYK/STXBP2/UNC13D",6
"BP","GO:0036314","response to sterol","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"TGFB1/CCL3/CCR5/F7/MLC1/RORC",6
"BP","GO:0048710","regulation of astrocyte differentiation","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"IL6/NF1/TREM2/F2/NOTCH1/DAB1",6
"BP","GO:0051497","negative regulation of stress fiber assembly","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"MIR21/PIK3R1/MIR20A/F11R/STMN1/TJP1",6
"BP","GO:0090183","regulation of kidney development","6/1012","33/18614",0.00797443460932382,0.0179509221124787,0.00805475591124778,"VEGFA/AGT/RET/ADIPOQ/STAT1/AGTR2",6
"BP","GO:0021675","nerve development","11/1012","88/18614",0.00804668648730993,0.0180996264735721,0.00812148102564806,"RET/CTNNB1/BDNF/VCAM1/PLXNA4/NRP1/NRP2/EDN1/NGF/CHD7/PHOX2B",11
"BP","GO:0032413","negative regulation of ion transmembrane transporter activity","11/1012","88/18614",0.00804668648730993,0.0180996264735721,0.00812148102564806,"EPO/MMP9/ADRA2A/MIR200C/SUMO1/CAV1/SRI/PKD2/TLR9/GSTO1/KCNRG",11
"BP","GO:0032507","maintenance of protein location in cell","9/1012","65/18614",0.00826385065852712,0.0185738065935215,0.00833425032519864,"CD4/TSPO/TXN/PINK1/TWF1/AKT1/MORC3/CAV1/HSPA5",9
"BP","GO:0048857","neural nucleus development","9/1012","65/18614",0.00826385065852712,0.0185738065935215,0.00833425032519864,"G6PD/RHOA/FGF2/MBP/CNP/HSPA5/S100A1/YWHAQ/PHOX2B",9
"BP","GO:0043303","mast cell degranulation","8/1012","54/18614",0.0083492406486362,0.0187513103464953,0.00841389801095958,"KIT/IL4/IL13/BTK/LGALS9/SYK/STXBP2/UNC13D",8
"BP","GO:1903170","negative regulation of calcium ion transmembrane transport","8/1012","54/18614",0.0083492406486362,0.0187513103464953,0.00841389801095958,"EPO/ADRA2A/VDAC1/MIR200C/SRI/PKD2/TLR9/GSTO1",8
"BP","GO:0002082","regulation of oxidative phosphorylation","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"TNF/SNCA/COX7A1/PINK1/RHOA",5
"BP","GO:0007190","activation of adenylate cyclase activity","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"ADRB1/ADRB2/CALCA/ADRB3/ACR",5
"BP","GO:0036344","platelet morphogenesis","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"EP300/ZFPM1/CLEC1B/CASP3/PRKDC",5
"BP","GO:0043574","peroxisomal transport","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"PEX3/PEX5L/PEX14/ABCD3/TRIM37",5
"BP","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"IL4/TREM2/CXCL9/MAPK14/GDF15",5
"BP","GO:0060571","morphogenesis of an epithelial fold","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"CTNNB1/EGFR/HIF1A/HOXD13/AR",5
"BP","GO:0071676","negative regulation of mononuclear cell migration","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"CCL2/CD200/KLRK1/AKT1/CD200R1",5
"BP","GO:0072202","cell differentiation involved in metanephros development","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"CTNNB1/ADIPOQ/STAT1/CD34/YAP1",5
"BP","GO:0090335","regulation of brown fat cell differentiation","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"INS/LEP/SIRT1/MAPK14/PTGS2",5
"BP","GO:1900543","negative regulation of purine nucleotide metabolic process","5/1012","24/18614",0.00841685118898773,0.018830812112829,0.00844957123812413,"TSPO/PARP1/STAT3/TP53/PPARA",5
